Skill ID Number,Dive Number,Skill Name,Skill Type,Skill Description,Skill Group,Skill Training Points,Skill Difficulty,Skill Rating,Skill Video,Skill Pictures
110,,Inward Somersault Pike,Dryboard,,,,,,,
111,,Inward Somersault Straight,Dryboard,,,,,,,
112,,Back 1 SS 1/2 Twist,Dryboard,,,,,,,
113,,Back 1 SS 1 Twist,Dryboard,,,,,,,
114,,Back 1 SS 1 1/2 Twists,Dryboard,,,,,,,
115,,Reverse 1 SS 1/2 Twist,Dryboard,,,,,,,
116,,Reverse 1 SS 1 Twist,Dryboard,,,,,,,
117,,Reverse 1 SS 1 1/2 Twists,Dryboard,,,,,,,
118,,Forward 1 SS 1/2 Twist,Dryboard,,,,,,,
119,,Forward 1 SS 1 Twist,Dryboard,,,,,,,
120,,Forward 1 SS 1 1/2 Twists,Dryboard,,,,,,,
121,,Forward 1 SS 2 Twists,Dryboard,,,,,,,
,,Front Running Takeoff,Platform,,,,,,,
,,Back Takeoff (Arm pattern only -No rotation),Platform,,,,,,,
,,Reverse Takeoff (Arm pattern only -No rotation),Platform,,,,,,,
,,Inward Takeoff (Arm pattern only -No rotation),Platform,,,,,,,
,,Handstand hold 15 seconds against wall,Platform,,,,,,,
,,Kick Handstand hold 3 seconds,Platform,,,,,,,
,,Press Handstand hold 3 seconds,Platform,,,,,,,
,,Running Front Jump NO Armcircle,Platform,,,,,,,
,,Running Front Jump With Armcircle,Platform,,,,,,,
,,Front Jump 1/2 Twist Straight,Platform,,,,,,,
,,Front Jump 1 Twist Straight,Platform,,,,,,,
,,Back Jump 1/2 Twist Straight,Platform,,,,,,,
,,Back Jump 1 Twist Straight,Platform,,,,,,,
,,Back Drop Tuck,Platform,,,,,,,
,,Back Drop Pike,Platform,,,,,,,
,,Back Drop Straight,Platform,,,,,,,
,,Reverse Drop Tuck,Platform,,,,,,,
,,Reverse Drop Pike,Platform,,,,,,,
,,Reverse Drop Straight,Platform,,,,,,,
,,Platform takeoffs,Platform,,,,,,,
,,Front Somersault,Platform,,,,,,,
,,Back Somersault,Platform,,,,,,,
